test_id,hypothesis_id,run_id,run_timestamp,hypothesis_text,test_type,outcome_framing,raw_p
run-a036dde3-T0001,run-a036dde3-H01,run-a036dde3,2026-07-18T04:17:19.597675+00:00,Drugs targeting broadly-acting immune/inflammatory processes (keyword-flagged in indication) show higher repurposing success.,fisher_exact,narrow,0.0904239099688115
run-a036dde3-T0002,run-a036dde3-H01,run-a036dde3,2026-07-18T04:17:19.597675+00:00,Drugs targeting broadly-acting immune/inflammatory processes (keyword-flagged in indication) show higher repurposing success.,fisher_exact,broad,0.8613816314430449
run-a036dde3-T0003,run-a036dde3-H02,run-a036dde3,2026-07-18T04:17:19.597675+00:00,Established products (widely-integrated 'keystone' agents) are more likely to be repurposed.,fisher_exact,narrow,0.17883136507672642
run-a036dde3-T0004,run-a036dde3-H02,run-a036dde3,2026-07-18T04:17:19.597675+00:00,Established products (widely-integrated 'keystone' agents) are more likely to be repurposed.,fisher_exact,broad,2.707631190467454e-07
run-a036dde3-T0005,run-a036dde3-H04,run-a036dde3,2026-07-18T04:17:19.597675+00:00,Drugs originally developed for common chronic conditions (metabolic/cardiovascular keywords) are more frequently exapted to new indications.,fisher_exact,narrow,0.03378961452558414
run-a036dde3-T0006,run-a036dde3-H04,run-a036dde3,2026-07-18T04:17:19.597675+00:00,Drugs originally developed for common chronic conditions (metabolic/cardiovascular keywords) are more frequently exapted to new indications.,fisher_exact,broad,0.2721895642411213
run-a036dde3-T0007,run-a036dde3-H06,run-a036dde3,2026-07-18T04:17:19.597675+00:00,"Oncology-targeting indications, where cross-mechanism co-option is common, show elevated repurposing success.",fisher_exact,narrow,9.965412171071006e-14
run-a036dde3-T0008,run-a036dde3-H06,run-a036dde3,2026-07-18T04:17:19.597675+00:00,"Oncology-targeting indications, where cross-mechanism co-option is common, show elevated repurposing success.",fisher_exact,broad,0.0
run-a036dde3-T0009,run-a036dde3-H09,run-a036dde3,2026-07-18T04:17:19.597675+00:00,Drugs indicated for infectious/viral conditions are repurposed more often across related pathogen variants.,fisher_exact,narrow,0.002975921486526782
run-a036dde3-T0010,run-a036dde3-H09,run-a036dde3,2026-07-18T04:17:19.597675+00:00,Drugs indicated for infectious/viral conditions are repurposed more often across related pathogen variants.,fisher_exact,broad,1.1996818720013376e-47
run-a036dde3-T0012,run-a036dde3-H10,run-a036dde3,2026-07-18T04:17:19.597675+00:00,"Drug names containing antimicrobial stems (-vir, -cillin, -mycin, -cycline, -floxacin) predict repurposing across variant targets.",fisher_exact,broad,4.518594210918956e-77
run-a036dde3-T0013,run-a036dde3-H11,run-a036dde3,2026-07-18T04:17:19.597675+00:00,Drugs whose names contain the monoclonal-antibody stem 'mab' positively predict repurposing success.,fisher_exact,narrow,0.1359891121968953
run-a036dde3-T0014,run-a036dde3-H11,run-a036dde3,2026-07-18T04:17:19.597675+00:00,Drugs whose names contain the monoclonal-antibody stem 'mab' positively predict repurposing success.,fisher_exact,broad,7.675307886797986e-25
run-a036dde3-T0015,run-a036dde3-H12,run-a036dde3,2026-07-18T04:17:19.597675+00:00,Drugs whose names contain the kinase-inhibitor stem 'nib' positively predict repurposing success.,fisher_exact,narrow,6.150065942302774e-10
run-a036dde3-T0016,run-a036dde3-H12,run-a036dde3,2026-07-18T04:17:19.597675+00:00,Drugs whose names contain the kinase-inhibitor stem 'nib' positively predict repurposing success.,fisher_exact,broad,2.0267628860759167e-55
run-a036dde3-T0017,run-a036dde3-H13,run-a036dde3,2026-07-18T04:17:19.597675+00:00,"General-purpose 'utility' indications (pain, nausea, symptomatic/supportive relief) are reused broadly like general-purpose utility modules.",fisher_exact,narrow,1.0
run-a036dde3-T0018,run-a036dde3-H13,run-a036dde3,2026-07-18T04:17:19.597675+00:00,"General-purpose 'utility' indications (pain, nausea, symptomatic/supportive relief) are reused broadly like general-purpose utility modules.",fisher_exact,broad,0.0022770013025425347
