test_id,hypothesis_id,run_id,session_timestamp,domain_description,proposing_llm,resulting_hypothesis_text,discovery_test_type,outcome_framing,discovery_raw_p,discovery_fdr_p,discovery_pass,confirmation_pass,confirmation_raw_p,confound_check_summary,outcome_note,archived
run-8d4c1360-T0001,run-8d4c1360-H01,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,keystone species in trophic cascades,Opus,Drugs acting on broad physiological hubs (e.g. inflammation) predict repurposing success across indications.,fisher_exact,narrow,0.0904239099688115,0.1679301185135071,False,,,,"OR=0.233 CI[0.051,0.722] n=2913 mech: Keystone-like broad mechanisms couple to many downstream disease pathways, creating more repurposing niches.",False
run-8d4c1360-T0002,run-8d4c1360-H01,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,keystone species in trophic cascades,Opus,Drugs acting on broad physiological hubs (e.g. inflammation) predict repurposing success across indications.,fisher_exact,broad,0.8613816314430449,0.8613816314430449,False,,,,"OR=1.15 CI[0.562,2.24] n=4203 mech: Keystone-like broad mechanisms couple to many downstream disease pathways, creating more repurposing niches.",False
run-8d4c1360-T0003,run-8d4c1360-H02,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,"exaptation / established-product robustness (consolidated across Opus keystone, Opus exaptation, Sol exaptation/preferential-attachment/software/disaster/real-option)",Sol,Established products predict higher repurposing success than non-established products.,fisher_exact,narrow,0.1788313650767264,0.2906009682496804,False,,,,"OR=0.238 CI[0.0691,1.8] n=2913 mech: Existing safety, formulation, and manufacturing knowledge lowers the incremental cost of validating a new indication, so established assets are preferentially co-opted.",False
run-8d4c1360-T0004,run-8d4c1360-H02,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,"exaptation / established-product robustness (consolidated across Opus keystone, Opus exaptation, Sol exaptation/preferential-attachment/software/disaster/real-option)",Sol,Established products predict higher repurposing success than non-established products.,fisher_exact,broad,2.707631190467454e-07,7.542686887730764e-07,True,True,2.484632254338679e-64,"{""status"": ""completed"", ""note"": ""candidate explanations checked \u2014 not the confirmed mechanism"", ""confounders"": [{""confound_name"": ""prior repurposing track record"", ""rationale"": ""Drugs already repurposed multiple times are more likely to be flagged as 'established products' and are also mechanically more likely to show additional repurposing success, since past success predicts future success independent of any cost-of-validation mechanism. This creates a spurious correlation driven by cumulative repurposing history rather than intrinsic asset properties."", ""computable"": true, ""feature_spec"": {""op"": ""prc_raw""}}, {""confound_name"": ""clinical development phase advancement"", ""rationale"": ""Established products tend to be at later development phases (e.g., approved/marketed), and later-phase assets are definitionally closer to 'success' status regardless of any incremental validation-cost advantage. The status/phase label may thus encode the outcome, inflating the association through label leakage rather than a real mechanism."", ""computable"": false, ""feature_spec"": null}, {""confound_name"": ""high-repurposing-frequency therapeutic areas"", ""rationale"": ""Certain indication classes (e.g., oncology, inflammation) attract disproportionate repurposing attempts and also contain many long-marketed 'established' agents, so both established status and success cluster within these areas. The correlation could reflect therapeutic-area popularity rather than the proposed knowledge-reuse mechanism."", ""computable"": true, ""feature_spec"": {""op"": ""ind_keyword"", ""params"": {""keywords"": [""cancer"", ""carcinoma"", ""tumor"", ""oncology"", ""inflammation"", ""arthritis""]}}}], ""checks"": [{""confound_name"": ""prior repurposing track record"", ""rationale"": ""Drugs already repurposed multiple times are more likely to be flagged as 'established products' and are also mechanically more likely to show additional repurposing success, since past success predicts future success independent of any cost-of-validation mechanism. This creates a spurious correlation driven by cumulative repurposing history rather than intrinsic asset properties."", ""computable"": true, ""adjustment_result"": {""or_unadjusted"": 0.4606, ""p_unadjusted"": 0.0, ""or_adjusted"": 0.3488, ""ci_low_adjusted"": 0.2526, ""ci_high_adjusted"": 0.4815, ""p_adjusted"": 0.0, ""n"": 4203, ""survives_adjustment"": true, ""note"": ""effect survives adjustment""}}, {""confound_name"": ""clinical development phase advancement"", ""rationale"": ""Established products tend to be at later development phases (e.g., approved/marketed), and later-phase assets are definitionally closer to 'success' status regardless of any incremental validation-cost advantage. The status/phase label may thus encode the outcome, inflating the association through label leakage rather than a real mechanism."", ""computable"": false, ""adjustment_result"": null}, {""confound_name"": ""high-repurposing-frequency therapeutic areas"", ""rationale"": ""Certain indication classes (e.g., oncology, inflammation) attract disproportionate repurposing attempts and also contain many long-marketed 'established' agents, so both established status and success cluster within these areas. The correlation could reflect therapeutic-area popularity rather than the proposed knowledge-reuse mechanism."", ""computable"": true, ""adjustment_result"": {""or_unadjusted"": 0.4606, ""p_unadjusted"": 0.0, ""or_adjusted"": 0.5289, ""ci_low_adjusted"": 0.3797, ""ci_high_adjusted"": 0.7368, ""p_adjusted"": 0.000166, ""n"": 4203, ""survives_adjustment"": true, ""note"": ""effect survives adjustment""}}]}","OR=0.461 CI[0.339,0.634] n=4203 mech: Existing safety, formulation, and manufacturing knowledge lowers the incremental cost of validating a new indication, so established assets are preferentially co-opted.",False
,run-8d4c1360-H03,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,keystone species in trophic cascades,Opus,Measured mechanistic connectivity (number of distinct pathways a drug touches) predicts success.,,,,,,,,,NEEDS_ENRICHMENT: Requires drug target/pathway annotation counts (number of protein targets or KEGG pathways per drug); not in dataset.,False
,run-8d4c1360-H04,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,phase transitions and percolation thresholds,Opus,Drugs with prior repurposing count at or above a critical threshold (k=2) percolate into further successes.,,,,,,,,,"DISCARDED: Label-confounded: built on prior_repurposing_count, which defines the outcome label.",False
,run-8d4c1360-H05,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,phase transitions and percolation thresholds,Opus,Later clinical phases (past the developmental critical point) predict repurposing success.,,,,,,,,,"NEEDS_ENRICHMENT: Requires an ordinal/numeric encoding of the phase column and a threshold op, neither of which exists in the DSL.",False
,run-8d4c1360-H06,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,phase transitions and percolation thresholds,Opus,Any prior repurposing (k=1) marks the subcritical-to-supercritical crossing.,,,,,,,,,DISCARDED: Label-confounded by the proposer's own admission: prc_threshold(k=1) is essentially the outcome-label definition.,False
run-8d4c1360-T0005,run-8d4c1360-H07,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,codon degeneracy / genetic code redundancy,Opus,"Indications described with broad syndrome terms (e.g. 'syndrome', 'disorder') repurpose more successfully.",fisher_exact,narrow,0.6423781778805484,0.7157928267811825,False,,,,"OR=0.852 CI[0.347,1.83] n=2913 mech: Degenerate/umbrella disease categories admit multiple mechanistic entry points, increasing chances a drug fits.",False
run-8d4c1360-T0006,run-8d4c1360-H07,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,codon degeneracy / genetic code redundancy,Opus,"Indications described with broad syndrome terms (e.g. 'syndrome', 'disorder') repurpose more successfully.",fisher_exact,broad,0.8275209483519865,0.8492978154138809,False,,,,"OR=0.975 CI[0.787,1.2] n=4203 mech: Degenerate/umbrella disease categories admit multiple mechanistic entry points, increasing chances a drug fits.",False
